CustomerID,FirstName,LastName,Gender,BirthDate,City,JoinDate,Age,State,Country
C001,Michael,Davis,M,1996-09-11,Austin,2022-09-25,29,TX,USA
C002,Michael,Miller,M,1959-08-18,Phoenix,2020-11-03,66,AZ,USA
C003,Carol,Hays,F,2005-04-19,Atlanta,2024-02-12,20,GA,USA
C004,Joseph,Ward,M,1992-06-16,Philadelphia,2024-09-09,33,PA,USA
C005,Jamie,Salinas,M,1992-06-18,San Diego,2022-02-24,33,CA,USA
C006,Danny,Moore,M,1986-10-03,Austin,2022-07-09,39,TX,USA
C007,Erin,Walker,M,1985-01-11,San Antonio,2021-10-13,40,TX,USA
C008,Isaiah,Williams,M,1960-11-13,Boston,2025-03-04,65,MA,USA
C009,Richard,Pacheco,F,2004-08-15,San Jose,2025-04-17,21,CA,USA
C010,Catherine,Rice,M,1976-12-12,Houston,2025-07-23,49,TX,USA
C011,Haley,Williams,M,1997-03-03,Phoenix,2023-05-12,28,AZ,USA
C012,Dale,Perry,M,1989-12-08,Seattle,2021-07-16,36,WA,USA
C013,Robert,Anderson,M,1955-01-28,Seattle,2023-03-22,70,WA,USA
C014,Brittany,Green,M,1974-06-25,Denver,2021-11-09,51,CO,USA
C015,Matthew,Molina,M,1993-12-12,New York,2022-11-27,32,NY,USA
C016,Miguel,Johnson,M,1976-04-27,Atlanta,2022-02-21,49,GA,USA
C017,Vanessa,Anderson,F,1982-03-11,Denver,2024-09-25,43,CO,USA
C018,Breanna,Davis,M,1994-08-19,New York,2024-11-12,31,NY,USA
C019,John,Smith,F,1998-05-16,San Antonio,2023-05-17,27,TX,USA
C020,Ryan,Cole,F,1982-06-26,San Jose,2024-04-19,43,CA,USA
C021,Debbie,Martin,M,1993-11-17,Dallas,2022-01-22,32,TX,USA
C022,Megan,Velasquez,M,1955-11-16,San Antonio,2020-10-02,70,TX,USA
C023,Mark,Martinez,F,1972-05-09,Los Angeles,2020-10-19,53,CA,USA
C024,Molly,Murray,F,1961-11-25,Philadelphia,2023-04-20,64,PA,USA
C025,Cheryl,Gilbert,F,1971-03-12,Boston,2022-01-14,54,MA,USA
C026,Justin,Macdonald,M,2004-01-04,Dallas,2024-09-03,22,TX,USA
C027,Jacqueline,Martin,M,1959-02-05,Chicago,2023-08-30,66,IL,USA
C028,John,Carr,F,1960-02-10,Chicago,2022-12-16,65,IL,USA
